127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/bootstrap-datepicker.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:57, POST, /AfspraakAssistent/default/user/login, HTTP/1.1, 303, 0.196000
127.0.0.1, 2013-01-31 23:17:57, GET, /AfspraakAssistent/default/user/login, HTTP/1.1, 200, 0.107000
127.0.0.1, 2013-01-31 23:18:03, POST, /AfspraakAssistent/default/user/login, HTTP/1.1, 303, 0.178000
127.0.0.1, 2013-01-31 23:18:03, GET, /AfspraakAssistent/default/user/login, HTTP/1.1, 200, 0.111000
127.0.0.1, 2013-01-31 23:18:10, GET, /AfspraakAssistent/default/user/register, HTTP/1.1, 200, 0.111000
127.0.0.1, 2013-01-31 23:18:29, POST, /AfspraakAssistent/default/user/register, HTTP/1.1, 200, 0.139000
127.0.0.1, 2013-01-31 23:18:35, GET, /AfspraakAssistent/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:18:37, GET, /AfspraakAssistent/default/index, HTTP/1.1, 200, 0.090000
127.0.0.1, 2013-01-31 23:18:37, GET, /AfspraakAssistent/assets/css/bootstrap-responsive.css, HTTP/1.1, 404, 0.106000
127.0.0.1, 2013-01-31 23:18:37, GET, /AfspraakAssistent/assets/ico/favicon.png, HTTP/1.1, 404, 0.079000
127.0.0.1, 2013-01-31 23:18:39, GET, /AfspraakAssistent/default/mijnafspraakassistent, HTTP/1.1, 303, 0.084000
127.0.0.1, 2013-01-31 23:18:39, GET, /AfspraakAssistent/default/user/login, HTTP/1.1, 200, 0.110000
127.0.0.1, 2013-01-31 23:18:45, POST, /AfspraakAssistent/default/user/login, HTTP/1.1, 303, 0.286000
127.0.0.1, 2013-01-31 23:18:45, GET, /AfspraakAssistent/default/mijnafspraakassistent, HTTP/1.1, 200, 0.114000
127.0.0.1, 2013-01-31 23:18:45, POST, /AfspraakAssistent/ajax/loadtijden, HTTP/1.1, 200, 0.249000
127.0.0.1, 2013-01-31 23:18:45, POST, /AfspraakAssistent/ajax/loadafspraaktype, HTTP/1.1, 200, 0.306000
127.0.0.1, 2013-01-31 23:18:54, GET, /AfspraakAssistent/default/usersite/bami, HTTP/1.1, 200, 0.141000
127.0.0.1, 2013-01-31 23:20:12, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.088000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:20:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:20:59, GET, /AfspraakAssistent/default/index, HTTP/1.1, 200, 0.271000
127.0.0.1, 2013-01-31 23:21:00, GET, /AfspraakAssistent/default/usersite/assets/css/bootstrap-responsive.css, HTTP/1.1, 500, 0.409000
127.0.0.1, 2013-01-31 23:21:00, GET, /AfspraakAssistent/default/usersite/assets/ico/favicon.png, HTTP/1.1, 500, 0.228000
